0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:08:05 +0530] "GET /server/api/authn/login HTTP/1.1" 405 40
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:08:11 +0530] "POST /server/api/authn/login HTTP/1.1" 403 172
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:08:38 +0530] "POST /server/api/authn/login HTTP/1.1" 403 172
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:09:52 +0530] "POST /server/api/authn/login HTTP/1.1" 403 172
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:10:17 +0530] "POST /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:12:52 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:13:21 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:13:58 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:14:11 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:14:17 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:14:21 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:14:33 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 200 6960
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:28:04 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:28:04 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:29:24 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:29:24 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:33:43 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:33:43 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:33:43 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:33:43 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:34:02 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:34:02 +0530] "POST /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:34:04 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:34:04 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:35:42 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:35:42 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:35:42 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:35:42 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:35:54 +0530] "POST /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:35:58 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:08:35:58 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/ HTTP/1.1" 200 13128
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/webjars/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 162264
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/webjars/underscore/underscore-min.js HTTP/1.1" 200 19526
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/webjars/backbone/backbone-min.js HTTP/1.1" 200 25200
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/browser/vendor/js/uritemplates.js HTTP/1.1" 200 11969
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/webjars/jquery/dist/jquery.min.js HTTP/1.1" 200 87533
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/styles.css HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/webjars/urijs/src/URI.min.js HTTP/1.1" 200 47616
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/webjars/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 62563
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/browser/js/hal.js HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/browser/js/hal/browser.js HTTP/1.1" 200 1425
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/browser/js/hal/resource.js HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/browser/js/hal/views/browser.js HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/browser/js/hal/views/explorer.js HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/browser/js/hal/views/inspector.js HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/browser/js/hal/views/location_bar.js HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/browser/js/hal/views/request_headers.js HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/js/hal/http/client.js HTTP/1.1" 200 6281
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/browser/js/hal/views/navigation.js HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/browser/js/hal/views/resource.js HTTP/1.1" 200 1184
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/browser/js/hal/views/links.js HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/browser/js/hal/views/properties.js HTTP/1.1" 200 2737
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/browser/js/hal/views/embedded_resource.js HTTP/1.1" 200 1651
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/browser/js/hal/views/non_safe_request_dialog.js HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/browser/js/hal/views/query_uri_dialog.js HTTP/1.1" 200 2091
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/browser/js/hal/views/response.js HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/browser/js/hal/views/embedded_resources.js HTTP/1.1" 200 937
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/browser/js/hal/views/response_body.js HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/browser/js/hal/views/response_headers.js HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/browser/js/hal/views/documentation.js HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/js/vendor/CustomPostForm.js HTTP/1.1" 200 5467
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:24 +0530] "GET /server/webjars/json-editor__json-editor/2.15.1/dist/jsoneditor.js HTTP/1.1" 200 526923
0:0:0:0:0:0:0:1 - - [10/Mar/2025:18:55:26 +0530] "GET /server/api HTTP/1.1" 200 8727
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:37:17 +0530] "GET /server/api/security/csrf HTTP/1.1" 403 31
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:37:17 +0530] "GET /server/api/security/csrf HTTP/1.1" 403 31
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:37:42 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 403 31
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:37:55 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 403 31
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:39:00 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:39:00 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:39:14 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:39:19 +0530] "POST /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:39:19 +0530] "POST /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:39:22 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:39:22 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:39:22 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:39:22 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:39:43 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:39:43 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:39:46 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:39:46 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:42:43 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:42:43 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:43:36 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:43:36 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:43:36 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:43:36 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:43:36 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:43:36 +0530] "GET /server/api/eperson/epersons HTTP/1.1" 401 169
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:43:52 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:43:52 +0530] "POST /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:47:31 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:47:31 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:47:47 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:47:47 +0530] "POST /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [10/Mar/2025:22:47:52 +0530] "OPTIONS /server/api/eperson/epersons HTTP/1.1" 200 5
