0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:33:38 +0530] "OPTIONS /server/api/discover/search/objects?sort=dc.title,ASC&page=0&size=10&dsoType=COMMUNITY HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:33:39 +0530] "GET /server/api/discover/search/objects?sort=dc.title,ASC&page=0&size=10&dsoType=COMMUNITY HTTP/1.1" 200 12162
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:33:57 +0530] "GET /server/api/discover/search/objects?sort=dc.title,ASC&page=0&size=10&dsoType=COMMUNITY HTTP/1.1" 200 12162
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:50:36 +0530] "OPTIONS /server/api/authn/logout HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:50:36 +0530] "POST /server/api/authn/logout HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:50:37 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:50:37 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:50:51 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:50:51 +0530] "POST /server/api/authn/login HTTP/1.1" 403 172
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:50:54 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:50:54 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:51:07 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:51:07 +0530] "POST /server/api/authn/login HTTP/1.1" 403 172
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:51:15 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:51:15 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:51:15 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:51:15 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:51:15 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:51:15 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:51:15 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:51:15 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:51:15 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:51:15 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:51:16 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:51:16 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:00:51:16 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
