0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:26:47 +0530] "GET /api/contentreport HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:27:06 +0530] "GET /server/api/contentreport HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:27:19 +0530] "GET /server/api/contentreport/filteredcollections HTTP/1.1" 401 315
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:27:19 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:27:36 +0530] "GET /server/api/contentreport/filteredcollections HTTP/1.1" 401 186
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:27:54 +0530] "OPTIONS /server/api/authn/logout HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:27:54 +0530] "POST /server/api/authn/logout HTTP/1.1" 403 173
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:27:54 +0530] "POST /server/api/authn/logout HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:28:18 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:28:18 +0530] "POST /server/api/authn/login HTTP/1.1" 403 172
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:28:18 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:28:18 +0530] "POST /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:28:52 +0530] "GET /server/api/contentreport/filteredcollections HTTP/1.1" 404 28
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:29:47 +0530] "GET /server/api/contentreport/filtereditems HTTP/1.1" 404 28
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:34:09 +0530] "GET /server/api/contentreport/filtereditems HTTP/1.1" 401 180
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:34:18 +0530] "OPTIONS /server/api/authn/logout HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:34:18 +0530] "POST /server/api/authn/logout HTTP/1.1" 403 173
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:34:18 +0530] "OPTIONS /server/api/authn/logout HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:34:18 +0530] "POST /server/api/authn/logout HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:34:34 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:34:34 +0530] "POST /server/api/authn/login HTTP/1.1" 403 172
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:34:34 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:34:37 +0530] "POST /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:35:45 +0530] "GET /server/api/contentreport/filtereditems HTTP/1.1" 404 28
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:35:47 +0530] "GET /server/api/contentreport/filtereditems HTTP/1.1" 404 28
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:35:49 +0530] "GET /server/api/contentreport/filtereditems HTTP/1.1" 404 28
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:36:00 +0530] "GET /server/api/contentreport/filtereditems HTTP/1.1" 404 28
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:36:01 +0530] "GET /server/api/contentreport/filtereditems HTTP/1.1" 404 28
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:36:03 +0530] "GET /server/api/contentreport/filtereditems HTTP/1.1" 404 28
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:36:04 +0530] "GET /server/api/contentreport/filtereditems HTTP/1.1" 404 28
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:37:31 +0530] "GET /server/api/contentreport/filtereditems HTTP/1.1" 404 28
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:57:11 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:57:11 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:57:11 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:57:11 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:57:11 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:57:11 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:57:11 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:57:11 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Jun/2025:00:57:11 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
