0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:33 +0530] "OPTIONS /server/api/authn/logout HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:36 +0530] "POST /server/api/authn/logout HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:38 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:38 +0530] "OPTIONS /server/api/authn/status HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:38 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:38 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:38 +0530] "GET /server/api/authn/status HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:38 +0530] "GET /server/api/authn/status HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:38 +0530] "GET /server/api/authn/status HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:38 +0530] "GET /server/api/authn/status HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:50 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:50 +0530] "OPTIONS /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:50 +0530] "POST /server/api/authn/login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:50 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "OPTIONS /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "OPTIONS /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "OPTIONS /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "OPTIONS /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "OPTIONS /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "OPTIONS /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "OPTIONS /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:51 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09 HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:52 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 10846
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:52 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 10846
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:52 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 10846
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:52 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 10846
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:54 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:54 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:55 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 10846
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:57 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "OPTIONS /server/api/discover/search/objects?configuration=default&sort=score%2CDESC&page=0&size=10&dsoType=item&scope=undefined&embed=thumbnail&embed=item/thumbnail HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "OPTIONS /server/api/discover/search/objects?configuration=default&sort=score%2CDESC&page=0&size=10&dsoType=item&scope=undefined&embed=thumbnail&embed=item/thumbnail HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/security/csrf HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09 HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/authn/status HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/eperson/epersons/75c3ab94-832e-4d84-9b5c-10b046200c09/groups HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 10846
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 10846
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/discover/search/objects?configuration=default&sort=score%2CDESC&page=0&size=10&dsoType=item&scope=undefined&embed=thumbnail&embed=item/thumbnail HTTP/1.1" 200 81463
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "OPTIONS /server/api/discover/facets/author?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "OPTIONS /server/api/discover/facets/subject?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "OPTIONS /server/api/discover/facets/entityType?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "OPTIONS /server/api/discover/facets/has_content_in_original_bundle?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "OPTIONS /server/api/core/items/684e8a56-ba71-4b54-98eb-e227d331b2d2/bundles?size=9999 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "OPTIONS /server/api/discover/facets/has_content_in_original_bundle?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/discover/facets/has_content_in_original_bundle?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 10846
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/discover/facets/author?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/discover/facets/entityType?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/discover/facets/subject?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/core/items/684e8a56-ba71-4b54-98eb-e227d331b2d2/bundles?size=9999 HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "OPTIONS /server/api/core/bundles/d9c00f62-e3b1-47f3-a4b8-4d12e7226216/bitstreams?page=0&size=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/discover/facets/has_content_in_original_bundle?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/core/bundles/d9c00f62-e3b1-47f3-a4b8-4d12e7226216/bitstreams?page=0&size=5 HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 10846
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/core/bundles/d9c00f62-e3b1-47f3-a4b8-4d12e7226216/bitstreams?page=0&size=5 HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "OPTIONS /server/api/core/items/2440d13d-e4e6-4fd4-89a0-c6c4b75f0c47/bundles?size=9999 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/core/items/2440d13d-e4e6-4fd4-89a0-c6c4b75f0c47/bundles?size=9999 HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/discover/search/objects?configuration=default&sort=score%2CDESC&page=0&size=10&dsoType=item&scope=undefined&embed=thumbnail&embed=item/thumbnail HTTP/1.1" 200 81463
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "OPTIONS /server/api/core/bundles/e03c8df2-af15-4e68-9c26-d7cadfbf557e/bitstreams?page=0&size=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/discover/facets/entityType?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/discover/facets/subject?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/discover/facets/author?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/discover/facets/has_content_in_original_bundle?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/core/bundles/e03c8df2-af15-4e68-9c26-d7cadfbf557e/bitstreams?page=0&size=5 HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/core/items/684e8a56-ba71-4b54-98eb-e227d331b2d2/bundles?size=9999 HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/discover/facets/has_content_in_original_bundle?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=undefined HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/core/bundles/e03c8df2-af15-4e68-9c26-d7cadfbf557e/bitstreams?page=0&size=5 HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/core/bundles/d9c00f62-e3b1-47f3-a4b8-4d12e7226216/bitstreams?page=0&size=5 HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "OPTIONS /server/api/core/items/a8e8dd19-deb2-4af0-84c5-5d716026f775/bundles?size=9999 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/core/items/a8e8dd19-deb2-4af0-84c5-5d716026f775/bundles?size=9999 HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/core/bundles/d9c00f62-e3b1-47f3-a4b8-4d12e7226216/bitstreams?page=0&size=5 HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "OPTIONS /server/api/core/bundles/70359c38-d027-414b-9780-e2299875752c/bitstreams?page=0&size=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/core/items/2440d13d-e4e6-4fd4-89a0-c6c4b75f0c47/bundles?size=9999 HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/core/bundles/70359c38-d027-414b-9780-e2299875752c/bitstreams?page=0&size=5 HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [14/Jun/2025:01:09:58 +0530] "GET /server/api/core/bundles/70359c38-d027-414b-9780-e2299875752c/bitstreams?page=0&size=5 HTTP/1.1" 200 3169
